transaction_id,amount,transaction_type,channel,time_of_day_hour,account_age_days,daily_transaction_count,failed_login_attempts,distance_from_home_km,is_foreign_transaction,is_fraud
TXN-10129,259.29,Transfer,POS_Terminal,16,126,4,1,13.3,0,0
TXN-10130,79.89,Transfer,Web_Browser,23,94,2,0,30.3,0,0
TXN-10131,12.1,Payment,Web_Browser,9,1258,1,0,5.9,0,0
TXN-10132,63.56,Payment,Mobile_App,15,727,3,1,40.8,0,0
TXN-10133,65.65,Payment,Mobile_App,12,9,3,0,6.1,0,0
TXN-10134,114.64,Purchase,ATM,4,442,2,0,14.1,0,0
TXN-10135,329.6,Payment,Mobile_App,1,36,2,0,19.2,1,0
TXN-10136,15.88,Transfer,Web_Browser,7,9,5,0,6.4,0,0
TXN-10137,96.24,Debit,Mobile_App,15,96,3,0,6.5,0,0
TXN-10138,46.14,Transfer,Web_Browser,14,95,5,0,9.5,1,0
TXN-10139,712.4,Purchase,ATM,14,514,5,0,27.0,0,0
TXN-10140,131.89,Purchase,Web_Browser,3,373,1,0,1.6,1,0
TXN-10141,41.98,Payment,Mobile_App,13,1199,5,0,15.0,0,0
TXN-10142,212.58,Transfer,Web_Browser,20,373,3,0,17.0,1,0
TXN-10143,5142.39,Payment,POS_Terminal,12,163,2,0,1414.8,0,1
TXN-10144,107.8,Payment,Mobile_App,15,361,5,1,41.2,0,0
TXN-10145,37.11,Payment,POS_Terminal,17,1500,2,0,13.8,0,0
TXN-10146,58.83,Cash_Out,Web_Browser,17,372,4,0,15.1,0,0
TXN-10147,195.1,Transfer,POS_Terminal,13,431,3,0,13.7,0,0
TXN-10148,37.83,Payment,Web_Browser,18,836,6,0,19.2,0,0
TXN-10149,5.0,Payment,Mobile_App,12,37,3,0,2.2,0,0
TXN-10150,25.64,Purchase,Mobile_App,19,367,6,0,33.7,0,1
TXN-10151,240.6,Payment,Mobile_App,9,571,3,0,0.7,0,0
TXN-10152,266.45,Payment,ATM,10,927,2,2,15.4,0,1
TXN-10153,26.68,Transfer,POS_Terminal,5,72,2,0,14.3,0,0
TXN-10154,11.09,Purchase,Web_Browser,17,211,3,0,3.5,0,0
TXN-10155,34.21,Payment,Mobile_App,12,343,2,0,0.6,0,0
TXN-10156,4067.24,Cash_Out,Mobile_App,9,86,4,0,2.2,0,1
TXN-10157,43.85,Debit,POS_Terminal,9,276,5,2,4.8,0,0
TXN-10158,7.46,Payment,Mobile_App,19,90,4,0,32.1,0,0
TXN-10159,96.28,Debit,Mobile_App,18,122,2,0,29.0,1,0
TXN-10160,4003.99,Transfer,Web_Browser,14,175,2,0,1.0,1,1
TXN-10161,265.84,Cash_Out,Mobile_App,15,226,1,3,5.1,0,1
TXN-10162,6.95,Cash_Out,Mobile_App,13,180,6,0,33.0,0,0
TXN-10163,171.56,Transfer,Mobile_App,12,204,3,0,267.1,0,1
TXN-10164,4232.29,Payment,Mobile_App,20,107,2,0,1532.0,0,1
TXN-10165,28.21,Debit,ATM,7,52,7,0,4.5,0,0
TXN-10166,10.51,Payment,Mobile_App,12,15,3,0,20.2,0,0
TXN-10167,8.54,Payment,Mobile_App,11,66,4,0,8.1,0,0
TXN-10168,25.33,Payment,Mobile_App,13,262,5,0,733.6,0,0
TXN-10169,6940.58,Cash_Out,POS_Terminal,12,463,3,2,4.4,0,1
TXN-10170,49.09,Cash_Out,Mobile_App,13,56,2,0,16.9,0,0
TXN-10171,240.02,Payment,Web_Browser,7,35,8,0,6.2,0,0
TXN-10172,50.89,Transfer,Mobile_App,13,416,2,0,13.9,0,0
TXN-10173,7961.06,Payment,Mobile_App,9,110,3,2,3.5,0,1
TXN-10174,19.72,Cash_Out,Mobile_App,8,908,5,0,8.9,0,0
TXN-10175,76.33,Payment,POS_Terminal,5,376,2,0,10.8,0,0
TXN-10176,5950.8,Cash_Out,POS_Terminal,17,119,6,2,8.0,0,1
TXN-10177,48.6,Transfer,Mobile_App,12,103,3,1,3.3,0,0
TXN-10178,173.03,Purchase,Web_Browser,15,223,9,0,9.3,1,0
TXN-10179,104.55,Payment,ATM,16,25,5,1,985.4,0,0
TXN-10180,31.54,Payment,Mobile_App,16,38,3,0,50.2,0,0
TXN-10181,20.46,Payment,POS_Terminal,13,59,2,0,23.4,0,0
TXN-10182,391.25,Purchase,Mobile_App,11,448,2,0,2.6,0,0
TXN-10183,27.1,Purchase,ATM,11,217,2,0,4.8,0,0
TXN-10184,596.66,Payment,POS_Terminal,15,4,5,0,1.2,0,0
TXN-10185,275.69,Cash_Out,ATM,13,336,3,0,2.2,0,0
TXN-10186,49.92,Debit,Web_Browser,18,166,3,0,4.3,0,0
TXN-10187,16.12,Cash_Out,Mobile_App,19,215,4,1,3.3,1,0
TXN-10188,56.74,Transfer,ATM,8,73,6,1,3.6,0,0
TXN-10189,203.79,Payment,Mobile_App,7,241,1,0,3.9,0,1
TXN-10190,37.34,Payment,Mobile_App,15,1162,3,1,5.4,0,0
TXN-10191,14.62,Purchase,Web_Browser,10,23,3,0,2.0,0,0
TXN-10192,31.22,Purchase,POS_Terminal,1,101,2,0,4.9,0,0
TXN-10193,80.66,Cash_Out,ATM,19,84,1,0,17.5,0,0
TXN-10194,87.46,Payment,Mobile_App,9,86,3,2,4.0,0,0
TXN-10195,59.23,Payment,POS_Terminal,20,143,3,0,2.8,0,0
TXN-10196,34.26,Debit,Web_Browser,16,512,4,2,1.1,1,0
TXN-10197,48.31,Purchase,Mobile_App,17,733,6,0,10.4,0,0
TXN-10198,34.46,Purchase,Mobile_App,9,68,6,0,27.7,0,0
TXN-10199,62.51,Debit,Mobile_App,9,235,7,0,0.9,0,0
TXN-10200,71.0,Cash_Out,Mobile_App,13,304,4,0,11.7,0,0
TXN-10201,42.79,Payment,ATM,8,222,2,0,15.8,0,0
TXN-10202,23.51,Payment,Web_Browser,10,171,2,0,13.5,0,0
TXN-10203,190.76,Purchase,Web_Browser,10,64,5,0,31.5,1,0
TXN-10204,73.55,Cash_Out,ATM,8,201,3,0,30.2,0,0
TXN-10205,111.78,Payment,Mobile_App,9,154,5,0,0.9,0,0
TXN-10206,26.0,Payment,POS_Terminal,17,477,5,0,6.7,0,0
TXN-10207,49.91,Cash_Out,Mobile_App,8,433,3,1,16.7,0,0
TXN-10208,25.46,Payment,POS_Terminal,2,44,2,0,45.7,0,0
TXN-10209,224.61,Payment,Mobile_App,15,28,7,0,24.5,0,0
TXN-10210,18.49,Transfer,ATM,21,717,2,0,2.9,0,0
TXN-10211,19.92,Cash_Out,Mobile_App,11,231,4,0,4.9,0,0
TXN-10212,58.44,Cash_Out,Mobile_App,7,586,3,0,21.6,0,0
TXN-10213,16.99,Payment,POS_Terminal,14,18,6,0,9.6,0,0
TXN-10214,224.18,Debit,Mobile_App,19,225,4,0,11.9,0,0
TXN-10215,13.33,Payment,Web_Browser,17,233,4,0,14.1,0,0
TXN-10216,43.05,Payment,Mobile_App,15,592,2,0,1.6,0,0
TXN-10217,35.98,Debit,Web_Browser,10,31,2,0,29.1,0,0
TXN-10218,73.75,Cash_Out,Mobile_App,13,83,8,0,29.8,0,0
TXN-10219,24.48,Debit,Mobile_App,6,157,4,0,9.5,0,0
TXN-10220,70.64,Cash_Out,Mobile_App,16,603,4,2,14.8,0,0
TXN-10221,23.08,Cash_Out,Mobile_App,16,839,1,0,16.2,1,0
TXN-10222,19.9,Payment,Mobile_App,21,1477,6,1,3.2,0,0
TXN-10223,2940.67,Transfer,Mobile_App,10,960,4,0,1.8,0,1
TXN-10224,49.18,Payment,Mobile_App,1,2,2,0,0.3,0,1
TXN-10225,41.24,Payment,Mobile_App,14,15,3,0,36.6,1,0
TXN-10226,37.05,Purchase,Web_Browser,16,48,6,3,6.4,0,0
TXN-10227,213.69,Transfer,POS_Terminal,17,129,1,0,1.3,0,0
TXN-10228,73.83,Purchase,Mobile_App,8,532,2,0,9.4,0,0
TXN-10229,8107.06,Cash_Out,Web_Browser,10,670,4,0,1.2,1,1
TXN-10230,159.8,Debit,Web_Browser,13,63,3,0,918.1,0,0
TXN-10231,14.01,Transfer,Mobile_App,11,291,5,0,10.1,1,0
TXN-10232,436.48,Cash_Out,Web_Browser,18,748,5,1,10.7,0,0
TXN-10233,10.18,Transfer,Mobile_App,13,187,4,0,13.0,0,0
TXN-10234,187.06,Payment,Web_Browser,17,33,4,0,16.0,0,0
TXN-10235,10.18,Debit,Mobile_App,14,184,1,0,16.6,0,0
TXN-10236,51.19,Payment,Web_Browser,17,142,7,4,8.5,0,1
TXN-10237,29.42,Payment,Web_Browser,11,259,3,0,15.5,0,0
TXN-10238,251.46,Cash_Out,Mobile_App,18,174,2,1,5.5,0,0
TXN-10239,118.04,Payment,Mobile_App,10,6,5,0,8.7,1,0
TXN-10240,40.97,Purchase,ATM,14,1500,4,0,7.5,0,0
TXN-10241,92.91,Purchase,Mobile_App,9,236,3,0,6.0,0,0
TXN-10242,72.37,Purchase,Web_Browser,13,193,2,1,4.1,0,0
TXN-10243,110.14,Transfer,ATM,10,928,6,0,1.2,0,0
TXN-10244,44.85,Payment,Web_Browser,10,51,2,0,10.6,0,0
TXN-10245,27.27,Purchase,Web_Browser,21,63,5,0,11.6,0,0
TXN-10246,6.23,Transfer,POS_Terminal,8,496,4,0,6.1,0,0
TXN-10247,38.69,Purchase,POS_Terminal,17,91,2,0,55.8,0,0
TXN-10248,62.45,Purchase,Mobile_App,22,482,4,0,12.2,0,0
TXN-10249,20.07,Purchase,Mobile_App,2,96,5,0,33.0,0,0
TXN-10250,50.62,Payment,Mobile_App,16,11,3,0,12.7,0,0
TXN-10251,166.35,Transfer,ATM,9,219,4,0,3.2,0,0
TXN-10252,6884.59,Purchase,Web_Browser,4,66,7,0,55.1,0,1
TXN-10253,26.09,Payment,Mobile_App,12,426,2,0,32.5,0,0
TXN-10254,137.44,Payment,POS_Terminal,20,308,3,0,9.6,0,0
TXN-10255,67.98,Cash_Out,Mobile_App,1,772,6,0,4.2,0,0
TXN-10256,66.05,Purchase,Mobile_App,14,459,4,0,3.8,0,0
TXN-10257,35.56,Cash_Out,Web_Browser,13,60,4,0,24.6,0,0
TXN-10258,15.49,Cash_Out,Mobile_App,19,484,1,0,1.1,0,0
TXN-10259,69.64,Payment,POS_Terminal,6,308,4,1,15.2,0,0
TXN-10260,78.86,Cash_Out,Mobile_App,16,332,2,0,15.3,0,0
TXN-10261,26.66,Purchase,POS_Terminal,16,536,2,0,3.0,0,0
TXN-10262,63.81,Payment,Web_Browser,15,256,2,0,18.3,0,0
TXN-10263,3610.23,Transfer,Mobile_App,20,189,7,2,18.3,0,1
TXN-10264,19.76,Purchase,ATM,18,304,3,0,6.5,0,0
TXN-10265,83.28,Debit,Web_Browser,4,107,6,1,9.9,0,0
TXN-10266,49.4,Cash_Out,Mobile_App,13,61,5,0,26.8,0,0
TXN-10267,142.58,Debit,Mobile_App,12,288,4,0,11.1,0,0
TXN-10268,160.33,Transfer,POS_Terminal,10,80,5,0,14.4,0,0
TXN-10269,58.07,Payment,Mobile_App,12,25,5,0,8.0,0,0
TXN-10270,54.46,Debit,Mobile_App,11,1,3,0,2.4,0,0
TXN-10271,43.65,Debit,Mobile_App,12,282,3,0,93.7,0,0
TXN-10272,18.95,Purchase,Mobile_App,21,135,4,1,11.4,0,0
TXN-10273,80.95,Purchase,POS_Terminal,6,419,2,0,6.2,0,0
TXN-10274,58.04,Transfer,Mobile_App,20,142,6,0,18.8,0,0
TXN-10275,7519.05,Transfer,Mobile_App,13,200,2,0,14.5,0,1
TXN-10276,7.64,Debit,Mobile_App,15,157,2,0,4.0,0,0
TXN-10277,94.69,Cash_Out,Mobile_App,18,316,4,0,31.4,0,0
TXN-10278,38.24,Debit,ATM,11,133,4,0,1.1,0,0
TXN-10279,108.23,Debit,Mobile_App,12,996,4,0,14.0,0,0
TXN-10280,13.96,Purchase,ATM,12,826,1,0,9.7,0,0
TXN-10281,58.66,Payment,Mobile_App,11,566,3,0,5.7,0,0
TXN-10282,52.89,Transfer,Mobile_App,20,759,2,0,26.3,0,0
TXN-10283,44.27,Payment,POS_Terminal,18,179,2,0,16.0,1,0
TXN-10284,265.19,Cash_Out,Mobile_App,7,231,3,0,21.4,0,0
TXN-10285,64.13,Payment,Web_Browser,7,407,5,0,8.0,0,0
TXN-10286,9.67,Transfer,ATM,12,358,5,0,2174.6,0,0
TXN-10287,36.57,Transfer,Mobile_App,7,665,4,0,6.3,0,0
TXN-10288,6201.74,Payment,Mobile_App,15,378,1,0,11.4,0,1
TXN-10289,224.83,Cash_Out,Web_Browser,8,1500,2,0,40.7,0,0
TXN-10290,69.85,Payment,Mobile_App,13,129,3,1,1.3,1,0
TXN-10291,46.53,Payment,Mobile_App,0,537,7,1,1.7,0,0
TXN-10292,13.32,Debit,Mobile_App,10,359,4,1,77.2,0,0
TXN-10293,64.9,Transfer,Mobile_App,16,353,3,0,53.3,0,0
TXN-10294,155.86,Payment,POS_Terminal,13,119,5,0,22.2,0,0
TXN-10295,98.65,Transfer,Mobile_App,21,462,4,0,9.9,0,0
TXN-10296,94.84,Debit,Mobile_App,19,692,3,0,10.6,0,0
TXN-10297,229.11,Payment,Web_Browser,11,74,4,0,4.5,0,0
TXN-10298,251.74,Cash_Out,Mobile_App,4,295,2,0,8.5,0,1
TXN-10299,60.83,Payment,Mobile_App,18,150,2,2,8.5,0,0
TXN-10300,98.35,Payment,POS_Terminal,19,1369,1,0,0.6,0,0
TXN-10301,302.97,Transfer,Mobile_App,18,196,2,0,9.1,0,0
TXN-10302,20.0,Transfer,POS_Terminal,7,78,3,0,9.8,0,0
TXN-10303,88.06,Cash_Out,POS_Terminal,23,145,6,0,309.4,0,0
TXN-10304,19.65,Debit,Mobile_App,10,319,1,0,10.9,0,0
TXN-10305,37.57,Purchase,Web_Browser,16,24,6,0,29.7,0,0
TXN-10306,208.11,Transfer,Mobile_App,19,278,4,2,6.9,0,0
TXN-10307,23.48,Payment,Mobile_App,9,804,2,0,7.9,0,0
TXN-10308,162.46,Debit,POS_Terminal,19,570,4,0,12.7,0,0
TXN-10309,29.75,Payment,POS_Terminal,10,22,3,2,1000.4,0,0
TXN-10310,163.92,Transfer,Mobile_App,21,1500,3,0,7.5,1,0
TXN-10311,235.88,Payment,Web_Browser,10,360,3,0,17.4,0,0
TXN-10312,22.06,Payment,ATM,21,54,1,0,8.0,0,0
TXN-10313,103.33,Purchase,ATM,5,4,2,0,35.6,0,0
TXN-10314,165.59,Debit,Web_Browser,16,57,1,0,14.3,0,0
TXN-10315,35.42,Cash_Out,Mobile_App,13,547,2,0,2.5,1,0
TXN-10316,7251.43,Transfer,Mobile_App,13,7,4,0,10.0,0,1
TXN-10317,16.52,Payment,ATM,9,80,4,0,21.7,0,0
TXN-10318,488.56,Payment,Mobile_App,16,425,4,0,15.5,0,0
TXN-10319,25.92,Payment,Web_Browser,8,265,3,0,32.5,0,0
TXN-10320,40.91,Transfer,Mobile_App,14,458,4,0,20.8,0,0
TXN-10321,47.8,Debit,Mobile_App,9,412,4,0,1.0,0,0
TXN-10322,59.25,Cash_Out,Mobile_App,21,16,2,0,1.8,0,0
TXN-10323,85.45,Payment,ATM,3,670,2,0,15.7,0,0
TXN-10324,84.07,Purchase,Mobile_App,8,78,6,0,4.1,0,0
TXN-10325,17.99,Debit,Web_Browser,9,242,5,0,13.3,0,0
TXN-10326,15.66,Cash_Out,Mobile_App,12,311,5,0,23.6,1,0
TXN-10327,298.37,Cash_Out,Mobile_App,9,56,1,0,12.9,0,0
TXN-10328,173.78,Transfer,Mobile_App,13,1122,1,0,8.1,0,0
TXN-10329,14.84,Payment,Web_Browser,19,201,3,0,1108.1,0,0
TXN-10330,81.13,Transfer,Mobile_App,16,18,3,0,2.3,0,0
TXN-10331,123.05,Debit,Mobile_App,14,831,5,1,19.3,0,0
TXN-10332,429.83,Payment,Mobile_App,6,265,4,0,17.9,0,0
TXN-10333,33.96,Payment,Mobile_App,16,361,4,0,10.8,0,0
TXN-10334,151.65,Payment,ATM,8,224,2,1,1623.3,0,0
TXN-10335,112.92,Payment,ATM,17,541,3,0,2014.6,0,0
TXN-10336,27.43,Purchase,Mobile_App,9,11,2,0,10.7,0,0
TXN-10337,38.69,Debit,Web_Browser,12,94,4,0,0.9,0,0
TXN-10338,25.76,Transfer,ATM,11,191,4,3,37.6,0,0
TXN-10339,78.31,Payment,Mobile_App,18,24,4,1,21.9,0,0
TXN-10340,11.64,Transfer,POS_Terminal,7,368,1,0,13.2,0,1
TXN-10341,43.9,Transfer,ATM,14,151,4,0,8.6,0,0
TXN-10342,38.19,Payment,Mobile_App,7,96,2,0,48.2,0,0
TXN-10343,7.07,Transfer,Mobile_App,16,2,3,0,1873.6,0,0
TXN-10344,74.33,Transfer,ATM,19,382,6,0,11.5,0,0
TXN-10345,107.49,Cash_Out,Web_Browser,12,539,8,0,15.9,0,0
TXN-10346,12.82,Cash_Out,Mobile_App,13,151,4,0,4.9,0,0
TXN-10347,54.74,Payment,Mobile_App,20,250,2,1,3.3,0,0
TXN-10348,6106.66,Transfer,Mobile_App,13,78,2,0,4.8,0,1
TXN-10349,61.69,Cash_Out,Web_Browser,13,293,5,0,5.2,0,0
TXN-10350,175.77,Transfer,Web_Browser,14,4,1,0,20.2,0,0
TXN-10351,32.86,Purchase,ATM,16,202,4,0,2.3,0,0
TXN-10352,5231.54,Cash_Out,Mobile_App,7,311,1,1,1931.0,0,1
TXN-10353,452.01,Payment,Web_Browser,18,752,5,0,11.1,1,0
TXN-10354,25.92,Payment,Web_Browser,12,145,2,0,7.3,0,0
TXN-10355,21.42,Cash_Out,Mobile_App,6,435,2,2,5.4,0,0
TXN-10356,54.31,Payment,Mobile_App,17,274,2,0,10.8,0,0
